year,no2_mean,no2_mean_weighted,no2_median,valid_days,mean_pixels
2005,3988185859410954.0,3987562752475496.0,3761428898617753.5,333,20.947945205479453
2006,3997056573992634.5,3996439501097361.5,3690089047195024.0,332,21.060606060606062
2007,4053486309439428.5,4052876118947677.0,3738874378083494.0,336,21.24109589041096
2008,4221482656336432.0,4220448238530546.0,3730327859031791.0,331,20.214285714285715
2009,3833509360585462.5,3833450184426963.5,3577196281069568.0,273,15.991780821917809
2010,4105474430201726.0,4104722863224154.0,4003016187174366.0,235,13.04109589041096
2011,4435472954155098.5,4435114357847391.0,4033158272131618.0,225,13.808219178082192
2012,4030386908157499.5,4030081305933459.5,3764300280777810.5,272,15.549180327868852
2013,3759325419847236.5,3758248240482593.5,3390691441659589.0,263,15.386301369863014
2014,3697091572465085.0,3696419334888571.5,3505056863503428.0,264,14.704109589041096
2015,3575250979711616.0,3574536734193072.0,3344185321202210.0,247,13.372602739726027
2016,3557277749156795.5,3556586769711624.5,3208111160697378.0,239,14.06515580736544
2017,3852511666971465.5,3851952864091942.0,3488273122459648.0,240,14.45983379501385
2018,3591437033539931.0,3590668521909417.5,3425458428187771.0,245,14.205479452054794
2019,3298450727591740.5,3297617687501438.5,3209299961053184.0,248,15.29041095890411
2020,2992417220293133.5,2991903795867049.5,2805067157043063.5,261,15.89344262295082
2021,2989160529181666.5,2988578193652491.0,2909252246963424.0,258,15.002739726027396
2022,2651986161993472.5,2652011774338212.0,2589880184366694.5,262,15.684931506849315
2023,2857191074859657.0,2856715506229593.5,2903713687955046.5,267,16.35164835164835
2024,2644473631695662.5,2644029746735973.0,2528558333272705.0,270,16.224657534246575
