date,no2_mean,no2_mean_weighted,no2_median,no2_min,no2_max,n_pixels,status,source_file
2005-01-01,3980617122945433.5,3976124291668183.5,3675069029023744.0,1154053149032448.0,8215666846859264.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0101_v003-2019m1120t182907.he5
2005-01-02,3983352607609105.0,3979157715642801.0,2424480852869120.0,41025607303168.0,1.0906585190629376e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0102_v003-2019m1120t183949.he5
2005-01-03,5899898251081591.0,5895981150447757.0,6384993139949568.0,1865272755486720.0,1.0637176924536832e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0103_v003-2019m1120t183858.he5
2005-01-04,7503896820213350.0,7498969691376351.0,4622024223752192.0,495417565380608.0,2.4938766258929664e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0104_v003-2019m1120t184016.he5
2005-01-05,8716331506676531.0,8714296714588037.0,7568527749808128.0,1977366435856384.0,2.1120871045267456e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0105_v003-2019m1120t183953.he5
2005-01-06,7178387085083716.0,7176757359080112.0,4245845889253376.0,1365491704659968.0,2.9697609350250496e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0106_v003-2019m1120t183900.he5
2005-01-07,7032223272411682.0,7028935065669787.0,4365121560248320.0,687307510251520.0,2.321136691970048e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0107_v003-2019m1120t184500.he5
2005-01-08,5360727234218121.0,5366660590660369.0,4595104174047232.0,934574347517952.0,1.0957118702092288e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0108_v003-2019m1120t184010.he5
2005-01-09,3471849771324757.5,3473150800894044.5,2761581024772096.0,-1022866996854784.0,1.0923124035944448e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0109_v003-2019m1120t184448.he5
2005-01-10,7224991130967518.0,7222792839757915.0,6997618148245504.0,1242448139386880.0,1.5718353016455168e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0110_v003-2019m1120t184516.he5
2005-01-11,6990479530079027.0,6990651761884104.0,4208243987447808.0,595094830841856.0,3.3202227501858816e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0111_v003-2019m1120t184032.he5
2005-01-12,4679239728852407.0,4675033344154256.0,5024746932535296.0,401949815996416.0,9369296136306688.0,28,ok,OMI-Aura_L3-OMNO2d_2005m0112_v003-2019m1120t184540.he5
2005-01-13,6790463853813214.0,6788747382574524.0,3160031314837504.0,969930585407488.0,2.561230517777203e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0113_v003-2019m1120t184607.he5
2005-01-14,8675854514616183.0,8670647549799937.0,4206510833926144.0,355835658108928.0,2.530156858887373e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0114_v003-2019m1120t182920.he5
2005-01-15,7737629694317909.0,7738763576712790.0,5450783260672000.0,2083575608377344.0,2.1574088879243264e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0115_v003-2019m1120t183903.he5
2005-01-16,3247374739492045.0,3249193716840715.0,2708252429123584.0,306199056613376.0,8466338854993920.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0116_v003-2019m1120t183944.he5
2005-01-17,6614888297476915.0,6616078277470640.0,5534176761610240.0,1867299174744064.0,1.4437722617806848e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0117_v003-2019m1120t184019.he5
