year,month,no2_mean,no2_mean_weighted,no2_median,valid_days,mean_pixels
2005,1,6157922232421632.0,6156478436183731.0,6614888297476915.0,29,26.516129032258064
2005,2,4341240678299533.5,4339697274339024.0,4560675300351235.0,26,23.035714285714285
2005,3,3093227560840830.5,3091336636862422.5,2905027693737847.5,30,22.419354838709676
2005,4,3868829576465979.5,3868367207142252.5,4104335380045278.0,28,25.1
2005,5,3698545024144131.0,3698822829236264.0,3772053564738765.0,30,21.677419354838708
2005,6,3054374995679538.0,3054455700646506.0,3247218765070336.0,23,16.8
2005,7,2790127240110141.5,2789713078618039.0,2606905461571584.0,27,14.387096774193548
2005,8,2376625735369360.5,2376259805232028.5,2439164361790805.5,27,13.129032258064516
2005,9,3027389629367673.5,3027019234563878.5,2767244073369600.0,29,19.133333333333333
2005,10,3373083476603271.5,3374008684897931.0,3208721826292644.0,26,19.677419354838708
2005,11,5556452317887446.0,5555938460587711.0,5546922528647850.0,28,25.466666666666665
2005,12,6123513111148806.0,6122050584142583.0,6111707146136234.0,30,24.322580645161292
2006,1,6356016115822723.0,6354681408196411.0,6722304270803490.0,30,26.032258064516128
2006,2,5245667785156184.0,5245705265502431.0,5582281961198933.0,25,25.535714285714285
2006,3,4073227906884196.0,4072582468082464.0,4358324066131058.0,29,26.310344827586206
2006,4,3598670313720602.0,3598993718014777.5,3669799246757888.0,30,25.2
2006,5,3027487471152844.0,3027111914670072.5,2932221154776405.5,31,23.70967741935484
2006,6,3205865603864672.0,3205817737896207.5,3506376909398562.0,25,18.9
2006,7,2814680378789177.5,2814138065650746.0,2601034258854083.0,25,14.516129032258064
2006,8,2386500183705240.0,2385914014898422.5,2306878243521772.0,30,14.741935483870968
2006,9,2121605603600401.8,2121362178619337.8,1930872580210688.0,28,17.4
2006,10,3438348828721309.0,3437775544200095.0,2972807834037999.0,26,16.193548387096776
2006,11,5467244994695374.0,5467207768056687.0,5147928415471753.0,23,18.066666666666666
2006,12,6286915258063602.0,6283908955326321.0,6916300606520854.0,30,26.741935483870968
2007,1,5432388725720598.0,5429144204527595.0,5219710619964757.0,29,24.774193548387096
2007,2,5138806395763216.0,5136557855316725.0,5331610921668881.0,26,24.571428571428573
2007,3,4769129812537995.0,4768982551058007.0,4662967281000994.0,28,22.096774193548388
2007,4,3253043927657395.5,3251704233709774.5,3298904597320346.0,30,22.3
2007,5,2769483103951747.0,2771254895728956.5,2928766609602541.0,30,20.225806451612904
2007,6,3220638311274875.5,3220162263800129.0,3053623193295725.5,29,18.5
2007,7,3075393342498540.5,3074391770341388.5,3147264941928561.0,28,18.483870967741936
2007,8,2846601230616101.5,2846346759135104.0,2660047573803918.0,26,17.677419354838708
2007,9,2839136440219175.5,2839179103606312.0,2991610866434048.0,25,17.033333333333335
2007,10,4212422544976974.0,4214074391247020.0,3934869215248384.0,29,21.451612903225808
2007,11,5219390109025527.0,5218655878868327.0,5332958094513493.0,28,24.433333333333334
2007,12,5850320373610477.0,5848846927935298.0,5837779191726080.0,28,23.580645161290324
2008,1,6062622709492747.0,6059000076541287.0,6443174116108971.0,29,24.677419354838708
2008,2,5672797165333169.0,5669746653143593.0,6121124433756160.0,28,26.0
2008,3,4557527940102141.0,4555658527086580.0,4413860294276827.5,29,24.258064516129032
2008,4,3807424193850809.5,3807372741702420.5,3776391192360667.5,29,22.066666666666666
2008,5,3226170730400338.0,3225737254809142.0,3257372144171955.0,30,21.451612903225808
2008,6,2565483441333174.0,2565384257428804.5,2517647891161998.0,28,15.033333333333333
2008,7,2314423143908478.0,2313335998678566.0,2420619772998837.0,26,12.774193548387096
2008,8,2335462481476244.5,2334301058561119.5,2237743813872926.0,28,16.193548387096776
2008,9,2684461615006111.0,2684870003812155.0,2853834351181824.0,18,8.928571428571429
2008,10,4098332166576702.0,4098873131289780.5,3728000756272333.0,29,19.870967741935484
2008,11,5546635200837077.0,5546551766873066.0,5364142356881052.0,29,24.866666666666667
2008,12,7066492712167902.0,7065054538501278.0,7138356048411580.0,28,25.774193548387096
2009,1,6187208820320985.0,6187891239397681.0,6348305666019937.0,24,19.838709677419356
2009,2,5523535343969594.0,5525386531107202.0,5448322356259499.0,24,23.107142857142858
2009,3,4423192766628048.5,4423718328459357.5,4096151167190084.0,26,21.774193548387096
2009,4,3541393807313882.0,3540945063535828.5,3775741668255334.5,24,19.3
2009,5,2917724727732898.5,2918228145649662.5,2755464785542075.5,25,13.258064516129032
2009,6,2734467394322309.0,2733893648059300.5,2602920078650027.0,24,14.333333333333334
2009,7,3205782251640639.5,3205178681987023.5,3267233295892480.0,25,17.35483870967742
2009,8,2585943050332828.0,2586055532399033.5,2309595092554001.0,24,13.96774193548387
2009,9,2108320059422297.8,2108637215167621.0,1562539005994598.5,19,8.4
2009,10,3061810826826480.5,3060574225468297.0,2694369420829582.0,22,13.03225806451613
2009,11,4591272274947094.0,4590730202221756.0,4139175786210918.5,20,15.3
2009,12,5342052638424067.0,5339911292300063.0,5675879491855974.0,16,12.709677419354838
